子任务ID	父任务ID	序列	禁止进入联机	显示状态	屏蔽项	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	Desc
46405	464	5					1	46404	3											18	0		18,6																													1																								QuestData_Desc_46405
46406	464	6					1	46405	3											6	1072													18	0	6,18						1		Q464Backdoor		3			1															14	46405											QuestData_Desc_46406
46407	464	7					1	46406	3											2	46405																					2		1009		3	QuestTarget	2		1		1																								QuestData_Desc_46407
46501	465	1					1	99902	3											18	0		6,18																																																					QuestData_Desc_46501
46502	465	2					1	46407	3											17	1004																					1		QuestKnighthood		3			1																											QuestData_Desc_46502
46503	465	3					1	46502	3											2	46501																					2		1218		1004	QuestTarget	2				1																								QuestData_Desc_46503
46504	465	4					1	46503	3											6	1073																					1		Q383Mark		3			1																											QuestData_Desc_46504
46505	465	5					1	46504	3											2	46502																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46505
46506	465	6					1	46505	3											6	1078																					1		Q465DilucDungeon		3			1																											QuestData_Desc_46506
46507	465	7					1	46506	3											2	46503																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46507
46508	465	8					1	46507	3										2	9	2003				5	100174																1		Q465DilucDungeon		3			1			1			1	100174	1	12	4																	QuestData_Desc_46508
46509	465	9					1	46508	3										2	11	2003				3	22010201		1																																																QuestData_Desc_46509
46510	465	10					1	46509	3											2	46504																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46510
46514	465	11					1	46510	3											2	46509																																																							QuestData_Desc_46514
46515	465	12		1			1	46510	3											4	46515																																																							QuestData_Desc_46515
46516	465	13		1			1	46510	3											4	46516																																																							QuestData_Desc_46516
46517	465	14		1			1	46510	3											4	46517																																																							QuestData_Desc_46517
46518	465	15		1			1	46516	3											2	46513																																		14	46510																				QuestData_Desc_46518
46519	465	16		1			1	46517	3											2	46514																																		14	46510																				QuestData_Desc_46519
46511	465	17					1	46514	3										2	10	3				5	100174																										1			1	100174	1	20	4																	QuestData_Desc_46511
46512	465	18					1	46511	3											17	1004																					1		QuestKnighthood		3			1																											QuestData_Desc_46512
46513	465	19					1	46512	3											2	46505																					2		1218		1004	QuestTarget	2		1		1																								QuestData_Desc_46513
46601	466	1					1	46513	3											6	1079																					1		Q383Mark		3			1																											QuestData_Desc_46601
46602	466	2					1	46601	3											2	46601																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46602
46603	466	3					1	46602	3										2	10	3				6	1080																1		Q466Lure1		3			1						19	3	133002233,1																			QuestData_Desc_46603
46621	466	4					1	46603	3											5	100052			3																		1		Q466BingWuHua	20	3			1																											QuestData_Desc_46621
46622	466	5					1	46621	3											2	46609																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46622
46604	466	6					1	46622	3											5	100177																					1		Q466Lure1		3			1			1			1	100177	1																			QuestData_Desc_46604
46605	466	7					1	46604	3											2	46602																					2		1009		3	QuestTarget	2				1			12	4		19	3	133002035,2	19	3	133002227,2													QuestData_Desc_46605
46606	466	8					1	46605	3											20			3002035	1										20		133002227	1					1		Q466Lure1		3			1						20	4		19	3	133002035,1	19	3	133002227,1	14	46604		19	3	133002035,1	19	3	133002227,1				QuestData_Desc_46606
46607	466	9					1	46606	3											2	46603																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_46607
46608	466	10					1	46607	3											17	1009																					1		QuestBarEnter		3			1			1																					10	0		QuestData_Desc_46608
46609	466	11					1	46608	3											18	0		18,6											8	46609																				10	1								14	46608											QuestData_Desc_46609
46610	466	12					1	46609	3											2	46604													8	46610							2		1009		1009	QuestTarget	2				1												14	46608											QuestData_Desc_46610
46620	466	13					1	46610	3											10	3													8	46620							1		Q466Lure2		3			1															14	46608											QuestData_Desc_46620
46611	466	14					1	46620	3											5	100177													8	46611							1		Q466Lure2		3			1						1	100177	1							14	46608											QuestData_Desc_46611
46619	466	15		1			1	46611	4											4																																			14	46610																				QuestData_Desc_46619
46612	466	16					1	99902	3											17	1009													8	46612							1		QuestBarEnter		3			1			1												14	46608											QuestData_Desc_46612
46613	466	17					1	46611	3											2	46605													8	46613							2		1009		1009	QuestTarget	2				1			12	4		19	3	133004118,2				14	46608											QuestData_Desc_46613
46614	466	18					1	99902	3											6	1081													8	46614							1		Q466FrontDoor		3			1			1			12	4		19	3	133004118,2				14	46608											QuestData_Desc_46614
46615	466	19					1	46613	3											20			133004118	5										8	46615							1		Q466Monster4		3			1						20	4								14	46608											QuestData_Desc_46615
46616	466	20					1	46615	3											2	46606													8	46616							2		1009		3	QuestTarget	2				1												14	46608											QuestData_Desc_46616
46617	466	21					1	46616	3											17	1009													8	46617							1		QuestBarEnter		3			1															14	46608											QuestData_Desc_46617
46618	466	22					1	46617	3											2	46607													8	46618							2		1218		1009	QuestTarget	2		1		1			10	0								14	46608											QuestData_Desc_46618
46701	467	1		1			1	36004	3											6	1093																															1																								QuestData_Desc_46701
46702	467	2		1			1	46701	3											2	46701																															1																								QuestData_Desc_46702
46703	467	3		1			1	46702	3											22			46710,46711,46712,46713																											1		1																								QuestData_Desc_46703
46801	468	1		1																2	46802																															1																								QuestData_Desc_46801
46802	468	2		1			1	46801	3											20			133002225	1										20		133002226	1													1					19	3	133002225,2	19	3	133002143,2				14	46801		19	3	133002225,2				19	3	133002225,1	QuestData_Desc_46802
46904	469	1		1		1	1	35104	3		2	31101	3							5	107001	1												2	30902																																									QuestData_Desc_46904
46901	469	1		1		2	1	31101	3		1	46904	3							6	1096																					1		Q469Paimon1		3			1																											QuestData_Desc_46901
46902	469	2				2	1	31101	3		1	46904	3							109	2		3,1																			1		Q469Paimon1		3			1																											QuestData_Desc_46902
46903	469	3					1	46902	3										2	2	46901				2	46902																2		1005		3	QuestTarget	2		1		1																								QuestData_Desc_46903
47001	470	1		1			1	35901	3											6	1106																																																							QuestData_Desc_47001
47002	470	2		1			1	47001	3											2	47001																																																							QuestData_Desc_47002
47003	470	3		1			1	47002	3											5	108053																															1																								QuestData_Desc_47003
47004	470	4		1			1	47003	3											2	47002																													1		1																								QuestData_Desc_47004
48401	484	1					1	99902	3											4	48401																					1		Q484Ambor		3						1																								QuestData_Desc_48401
48402	484	2					1	48401	3											2	48402																															1																					18	100210:1,100211:1,100212:1		QuestData_Desc_48402
48403	484	3					1	48402	3											5	100210																					1		Q48403		3																														QuestData_Desc_48403
48404	484	4				1	1	48403	3		2	48407	3							2	48404																																																							QuestData_Desc_48404
48405	484	5					1	48402	3											5	100211																					1		Q48405		3																														QuestData_Desc_48405
48406	484	6					1	48405	3											2	48406																																																							QuestData_Desc_48406
48407	484	7					1	48402	3											5	100212																					1		Q48407		3																														QuestData_Desc_48407
48408	484	8				1	1	48407	3		2	48403	3							2	48408																																																							QuestData_Desc_48408
48409	484	9				1	1	48407	3		1	48403	3		1	48404	3			2	48409																																																							QuestData_Desc_48409
48410	484	10				1	1	48407	3		1	48403	3		1	48408	3			2	48410																																																							QuestData_Desc_48410
48411	484	11					1	48402	3											4	48411																																																							QuestData_Desc_48411
48412	484	12					1	48402	3											2	4840904																																																							QuestData_Desc_48412
48413	484	13					1	48412	3											4	48412																					1		Q48412	30	3						1																								QuestData_Desc_48413
48414	484	14					1	48413	3											2	48413																					1		Q48413		3																														QuestData_Desc_48414
48415	484	15					1	48414	3											4	48414																					1		Q48414	30	3																														QuestData_Desc_48415
48416	484	16					1	48415	3										1	3	21010201				3	21010301																1		Q48414	30	3																														QuestData_Desc_48416
48417	484	17					1	48416	3											2	48416																					1		Q48415Mon2		3																														QuestData_Desc_48417
48418	484	18					1	48417	3											4	48417																					1		Q484Print1	30	3																														QuestData_Desc_48418
48419	484	19					1	48418	3											4	48418																					1		Q484Print2	30	3																														QuestData_Desc_48419
48420	484	20					1	48419	3											4	48419																					1		Q484Print3	30	3																														QuestData_Desc_48420
48421	484	21					1	48420	3											4	48420																					1		Q484Print4	30	3																														QuestData_Desc_48421
48422	484	22					1	48421	3											4	48421																					1		Q484Print5	30	3																														QuestData_Desc_48422
48423	484	23					1	48422	3											2	48422																																																							QuestData_Desc_48423
48424	484	24					1	48402	3											2	4840903																																																							QuestData_Desc_48424
48425	484	25					1	48424	3											18	0		0,24																													1																								QuestData_Desc_48425
48426	484	26					1	48425	3											22			48423,48424,48429,48432																																																					QuestData_Desc_48426
48427	484	27					1	48425	3											22			48425,48426,48430,48433																																																					QuestData_Desc_48427
48428	484	28					1	48425	3											22			48427,48428,48431,48434																																																					QuestData_Desc_48428
48429	484	29				1	1	48426	3		1	48427	3		1	48428	3			4	48429																																																							QuestData_Desc_48429
48430	484	30					1	48425	3											4	48430																																																							QuestData_Desc_48430
48431	484	31					1	48430	3											4	48431																																																							QuestData_Desc_48431
48432	484	32					1	48431	3											2	48435																																		14	48401																				QuestData_Desc_48432
99401	994	1					1	99902	3											4																														1		1																								QuestData_Desc_99401
99501	995	1					1	99902	3											4																						1		QuestChurchMark								1																								QuestData_Desc_99501
99502	995	2					1	99501	3											4																						1		QuestChurchMark								1																								QuestData_Desc_99502
99601	996	1					1	99902	3											4																						1		QuestChurchMark								1																								QuestData_Desc_99601
99602	996	2					1	99601	3											4																						1		QuestChurchMark						1		1																								QuestData_Desc_99602
99701	997	1					1	99902	3											2	99701																													1																										QuestData_Desc_99701
99801	998	1					1	40305	3											2	99801																					1		Q351FirstClimb	50							1																								QuestData_Desc_99801
99802	998	2					1	99801	3											4	99802													8	99802							1		Q351FirstClimb	100																															QuestData_Desc_99802
99803	998	3					1	99802	3											2	99802													2	99803																	1												14	99801											QuestData_Desc_99803
99804	998	4					1	99803	3											4	99804													8	99804																																									QuestData_Desc_99804
99805	998	5					1	99804	3											2	99804													2	99805															1		1												14	99803											QuestData_Desc_99805
99901	999	1					1	40305	3											2	99902																																																							QuestData_Desc_99901
99902	999	2					1	99901	3											2	99908																													1																										QuestData_Desc_99902
